419,"Columbia (University of South Carolina)[14]
"
420,"Due West (Erskine College)
"
421,"Florence (Francis Marion University)
"
422,"Greenwood (Lander University)
"
423,"Orangeburg (South Carolina State University, Claflin University)[2]
"
424,"Rock Hill (Winthrop University)
"
425,"Spartanburg (Wofford College, Converse College, University of South Carolina Upstate, Spartanburg Methodist College, Edward Via College of Osteopathic Medicine, Spartanburg Community College, Virginia College, Sherman College of Chiropractic)
"
426,"Brookings (South Dakota State University)[2]
"
427,"Madison (Dakota State University)
"
428,"Spearfish (Black Hills State University)
"
429,"Vermillion (University of South Dakota)[5]
"
430,"Chattanooga (University of Tennessee at Chattanooga)
"
431,"Collegedale (Southern Adventist University)
"
432,"Cookeville (Tennessee Technological University)[2]
"
433,"Harrogate (Lincoln Memorial University)[2]
"
434,"Henderson (Freed-Hardeman University)[2]
"
435,"Johnson City (East Tennessee State University)
"
436,"Knoxville (University of Tennessee)
"
437,"Martin (University of Tennessee at Martin)[2]
"
438,"McKenzie (Bethel University)[2]
"
439,"Memphis (Christian Brothers University, LeMoyne-Owen College, Memphis College of Art, Memphis Theological Seminary, Rhodes College, Southern College of Optometry, Southwest Tennessee Community College, University of Memphis, University of Tennessee Health Science Center, Visible Music College)
"
440,"Murfreesboro (Middle Tennessee State University)[2]
"
441,"Nashville (Vanderbilt University, Belmont University, Tennessee State University, Lipscomb University, Fisk University, Aquinas College, Trevecca Nazarene University)
"
442,"Sewanee (Sewanee: the University of the South)[2]
"
443,"Abilene (Abilene Christian University, Hardin-Simmons University, McMurry University)
"
444,"Alpine (Sul Ross State University)[2]
"
445,"Austin (University of Texas at Austin, St. Edwards University, Huston-Tillotson University)[2]
"
446,"Beaumont (Lamar University)
"
447,"Canyon (West Texas A&M University)[2]
"
448,"College Station (Texas A&M University)[5]
"
449,"Commerce (Texas A&M Universityâ€“Commerce)[2]
"
450,"Dallas (Southern Methodist University)
"
451,"Denton (University of North Texas, Texas Woman's University)[2]
"
452,"Fort Worth (Texas Christian University, Texas Wesleyan University)
"
453,"Georgetown (Southwestern University)
"
454,"Huntsville (Sam Houston State University)[2]
"
455,"Houston (University of Houston, Texas Southern University, Rice University, Houston Baptist University)
"
456,"Keene (Southwestern Adventist University)[2]
"
457,"Kingsville (Texas A&M Universityâ€“Kingsville)[2]
"
458,"Lubbock (Texas Tech University, Lubbock Christian University)
"
459,"Nacogdoches (Stephen F. Austin State University)[2]
"
460,"Plainview (Wayland Baptist University)[2]
"
461,"Prairie View (Prairie View A&M University)[2]
"
462,"San Marcos (Texas State University)[5]
"
463,"Stephenville (Tarleton State University)[2]
"
464,"Waco (Baylor University)
"
465,"Cedar City (Southern Utah University)[2]
"
466,"Logan (Utah State University)[2]
"
467,"Provo (Brigham Young University)[5]
"
468,"Orem (Utah Valley University)
"
469,"Salt Lake City (University of Utah)
"
470,"Ephraim (Snow College)
"
471,"Burlington (University of Vermont, Champlain College and Saint Michael's College)[2]
"
472,"Castleton (Castleton State College)[2]
"
473,"Johnson (Johnson State College)[2]
"
474,"Lyndonville (Lyndon State College)[2]
"
475,"Middlebury (Middlebury College)[2]
"
476,"Northfield (Norwich University)[2]
"
477,"Blacksburg (Virginia Polytechnic Institute and State University)[5]
"
478,"Bridgewater (Bridgewater College)[2]
"
479,"Charlottesville (University of Virginia)[23]
"
480,"Farmville (Longwood University, Hampden-Sydney College)[2]
"
481,"Fredericksburg (University of Mary Washington)[2]
"
482,"Harrisonburg (James Madison University, Eastern Mennonite University)[2]
"
483,"Lexington (Washington and Lee University, Virginia Military Institute)[2]
"
484,"Lynchburg (Lynchburg College, Randolph College, Liberty University, Central Virginia Community College)
"
485,"Radford (Radford University)[2]
"
486,"Williamsburg (The College of William & Mary)[2]
"
487,"Wise (University of Virginia's College at Wise)[2]
"
488,"Chesapeake (Averett University, DeVry University, Troy University, Tidewater Community College, Strayer University, Everest University, Sentera College of Health Sciences, St Leo University)[2]
"
489,"Bellingham (Western Washington University)
"
490,"Cheney (Eastern Washington University)[2]
"
491,"Ellensburg (Central Washington University)[5]
"
492,"Pullman (Washington State University)[5]
"
493,"University District, Seattle (University of Washington)[5]
"
494,"Athens (Concord University)[2]
"
